logP,particle_size,surfactant,cosurfactant,oil,pe_conc,polymer,chitosan,enteric,dose,rank,fitness,F_oral,Cmax,Tmax,AUC,t_half,Ctrough,Cmax_MIC,AUC_MIC,Ka
1.5881444586265092,50.05594338057077,50.0271344166392,29.76804205744126,20,49.917122513230396,29.47118905800726,1,1,999.9816505671429,1,0.626752821495281,0.28362673433730967,12.410351907676207,1.1,60.053866219863856,2.5000000000000036,0.024542405232162983,12.410351907676207,60.053866219863856,2.2352709713806114
1.5881444586265092,50.05594338057077,50.0271344166392,29.76804205744126,20,49.917122513230396,29.47118905800726,1,1,999.9816505671429,2,0.626752821495281,0.28362673433730967,12.410351907676207,1.1,60.053866219863856,2.5000000000000036,0.024542405232162983,12.410351907676207,60.053866219863856,2.2352709713806114
1.5612346882165928,50,50.04474709188478,28.155714745108444,21.392758740627745,50,30,1,1,994.9231534653474,3,0.6264569765621472,0.2841199604694151,12.370176651497552,1.1,59.85397426641185,2.500000000000002,0.024458969719260173,12.370176651497552,59.85397426641185,2.236400217989818
1.5612346882165928,50,50.04474709188478,28.155714745108444,21.392758740627745,50,30,1,1,994.9231534653474,4,0.6264569765621472,0.2841199604694151,12.370176651497552,1.1,59.85397426641185,2.500000000000002,0.024458969719260173,12.370176651497552,59.85397426641185,2.236400217989818
1.5881444586265092,50,50.0271344166392,29.8449168697056,20,49.917122513230396,29.203696012283846,1,1,1000,5,0.6257273588926174,0.2828521633371887,12.376803625826785,1.1,59.890960000370654,2.5000000000000027,0.024475649857078834,12.376803625826785,59.890960000370654,2.2353873017271635
1.501889805324742,51.587351763168265,39.1905557416068,5.574622028645238,55.013109005410996,49.49579252297887,30,1,1,993.8014697873608,6,0.5874839948795715,0.25484722838583035,10.981636267900972,1.1,53.627469639152395,2.5000000000000124,0.022068419634141533,10.981636267900972,53.627469639152395,2.1311903110859807
1.4913993166885096,50,10,29.85242837961124,58.17641499914068,45.293342122935265,29.209903024894345,1,1,994.0362790194301,7,0.5759960722675511,0.2461395233105979,10.283962127143198,1.2000000000000002,51.80897815268881,2.500000000002102,0.021841622756120904,10.283962127143198,51.80897815268881,1.8374389241953015
1.6,50,16.05305235687098,21.20491755376871,55.68567142186822,49.90460382444205,29.341371359005215,1,1,931.4615475774484,8,0.5664162917324147,0.24661758062692407,9.758165770459053,1.2000000000000002,48.64146282062889,2.5000000000004126,0.020330447544764024,9.758165770459053,48.64146282062889,1.9315276932706678
1.4800583546041635,50,12.794885993626187,28.450820300860155,57.938713082536566,47.24503710313416,29.05154206147731,1,1,856.6634611504843,9,0.5560367562025477,0.24809788962518006,8.976996991902327,1.2000000000000002,45.00421219811019,2.500000000001022,0.01889858946988971,8.976996991902327,45.00421219811019,1.879037389924873
1.5881444586265092,50,11.669403914716286,5.514444971147687,20.59656700544026,49.917122513230396,29.47118905800726,1,1,999.9816505671429,10,0.5552408316971138,0.2297865186028318,9.720046926072229,1.2000000000000002,48.65594217447226,2.5000000000008096,0.020407053764207494,9.720046926072229,48.65594217447226,1.8924469889201991
